text,emotion
Hari ini sangat menyenangkan sekali! Saya sangat bahagia,senang
Alhamdulillah semua berjalan lancar dan menyenangkan,senang
Wah luar biasa ini benar-benar membahagiakan,senang
Terima kasih banyak kamu membuatku senang,senang
Bahagia banget rasanya hari ini,senang
Sukacita meluap-luap di hatiku,senang
Tersenyum lebar penuh kegembiraan,senang
Gembira bukan main ya,senang
Seneng banget akhirnya berhasil juga,senang
Excited banget rasanya menanti hari ini,senang
Hore akhirnya tercapai juga impianku,senang
Nikmat banget rasanya bisa seperti ini,senang
Puas banget dengan hasilnya,senang
Lega dan senang semuanya beres,senang
Bangga banget bisa mencapai ini,senang
Syukur alhamdulillah semuanya baik-baik saja,senang
Ceria sekali hari ini,senang
Riang gembira hatiku,senang
Damai dan bahagia,senang
Plong rasanya beban hilang,senang
Terima kasih atas bantuannya sangat berarti,senang
Luar biasa pencapaian yang membanggakan,senang
Mantap jiwa hasilnya,senang
Keren abis,senang
Top banget deh,senang
Membahagiakan sekali,senang
Amazing rasanya,senang
Wonderful day today,senang
Blessed banget hari ini,senang
Perfect hasil yang dicapai,senang
Senang bisa ketemu kamu lagi,senang
Hati ini dipenuhi kebahagiaan,senang
Manis sekali rasanya,senang
Indah hari ini,senang
Beruntung banget bisa seperti ini,senang
Menyenangkan sekali pengalamannya,senang
Optimis masa depan cerah,senang
Penuh semangat hari ini,senang
Antusias banget nunggu acara,senang
Yeay akhirnya kelar juga,senang
Saya merasa sangat sedih dan kecewa dengan hasil ini,sedih
Hatiku hancur mendengar berita itu,sedih
Rasanya hampa dan kosong,sedih
Menyedihkan sekali kejadian ini,sedih
Kecewa berat sama kamu,sedih
Sedih dengernya kasihan banget,sedih
Air mataku menetes mendengar cerita itu,sedih
Hancur lebur perasaanku,sedih
Terpukul keras hatiku,sedih
Kehilangan yang sangat menyakitkan,sedih
Duka yang mendalam,sedih
Pedih rasanya menerima kenyataan ini,sedih
Hati terluka parah,sedih
Nestapa yang tak berujung,sedih
Nelangsa sekali nasibku,sedih
Sedih menyelimuti hatiku,sedih
Galau dan bingung,sedih
Rapuh hatiku mendengarnya,sedih
Muram suasana hatiku,sedih
Patah hati rasanya,sedih
Sakit hati mendengar ucapanmu,sedih
Luka yang dalam,sedih
Getir rasanya,sedih
Miris lihat kondisinya,sedih
Pilu ceritanya,sedih
Sendu hatiku,sedih
Depresi rasanya,sedih
Down banget mood hari ini,sedih
Blue feeling,sedih
Melancholy melanda,sedih
Sedih ga ada yang peduli,sedih
Lonely dan kesepian,sedih
Terisolasi dari semua orang,sedih
Hopeless ga ada harapan,sedih
Desperate keadaannya,sedih
Broken heart parah,sedih
Nangis bombay,sedih
Terisak-isak sepanjang malam,sedih
Ga ada yang pengertian,sedih
Ditinggal sendirian,sedih
Ini membuat saya sangat marah! Tidak bisa diterima,marah
Kenapa harus begini aku benar-benar kesal,marah
Jangan ganggu aku aku sedang tidak mood,marah
Dasar tidak becus bikin kesal saja,marah
Kesal banget gak bisa dipercaya,marah
Jangan macam-macam ya hati-hati aku marah,marah
Brengsek aku tidak terima perlakuan ini,marah
Murka tidak bisa dimaafkan,marah
Dongkol banget rasanya,marah
Geram melihat kelakuanmu,marah
Sebel banget deh,marah
Emosi jiwa nih,marah
Ngeselin banget sih,marah
Jengkel setengah mati,marah
Kesal luar biasa,marah
Bete banget jadinya,marah
Nyesek banget rasanya,marah
Gondok nih jadinya,marah
Annoying banget,marah
Frustrasi total,marah
Kurang ajar banget,marah
Lancang sekali,marah
Keterlaluan,marah
Outrageous,marah
Ridiculous banget,marah
Absurd tingkah lakunya,marah
Menyebalkan,marah
Irritating sekali,marah
Bikin panas kupingku,marah
Savage banget sikapnya,marah
Gila kamu tuh bikin marah,marah
Unfair banget ini,marah
Tidak adil perlakuannya,marah
Gak terima diperlakukan begini,marah
Fed up banget,marah
Sick of this,marah
Bosan dengan keadaan ini,marah
Muak sama tingkah lakumu,marah
Hate banget,marah
Capek deh,marah
Saya takut akan hal yang terjadi nanti,takut
Aku cemas dan khawatir sekali,takut
Ngeri banget kalau dipikir-pikir,takut
Deg-degan banget nunggu hasilnya,takut
Serem ah mikirin itu,takut
Takut banget kalau gagal nanti,takut
Gemetar takut membayangkannya,takut
Ngeri dan seram bayangan buruknya,takut
Waswas dan takut terus menerus,takut
Merinding membayangkannya,takut
Panik nih jadinya,takut
Stress banget ngebayanginnya,takut
Anxiety tinggi banget,takut
Ketakutan luar biasa,takut
Horor banget ceritanya,takut
Mengerikan sekali,takut
Gugup menanti hasilnya,takut
Tegang menunggu keputusan,takut
Khawatir banget jadinya,takut
Parno nih rasanya,takut
Nightmare banget bayangannya,takut
Menakutkan,takut
Creepy sekali,takut
Spooky atmosphere,takut
Eerie rasanya,takut
Haunting memory,takut
