,tweet,label
0,wah belom liat muka gue lagi murka hahahaha,joy
1,"Mungkin kurang piknik adrenalin. Mereka yg skeptis tuh kek bad-debitor yg mau seluruh data debitur bank hilang, atau kek mahasiswa-pemalas yg ngarepin data nilai seluruh kampus hancur. Kaum ""merasa"" paling sengsara yg gak mo pusing sendirian oleh masalahnya.",anger
2,"maaf kalo tersinggung ""orang kurus cepet mati"" woe ijat tulisan ""maaf kalo tersinggung"" itu tidak berguna",anger
3,berserah pada maha esa paling tabah dan sabar selawat dan zikir banyak2 masa nak ambil result result 6A3B+ buat sujud syukur depan orang ramai dia la yang akan buat ceramah bekas pelajar spm to calon2 spm yang akan datang,joy
4,Ehekk malu la hahahahahahaha,sadness
5,WKWKWKWK KESAL AKU BACANYA TAPI KOK SENYUM2,anger
6,Yg membuat lidahku. Gugup tak bergerak,fear
7,"Lho kok buru-buru mengatakan orang marah? Keknya anda salah tafsir. Bukan marah sih, cuma mual-mual karena jijik.",disgust
8,Gila sih itu ngeri bgt galiannya,fear
9,"Kesal masih belom, ngantuk iya",anger
10,"Apalagi yg jualan Spotify premium banyak banget, lama-lama bikin risih",disgust
11,Buaya darat buset aku tertipu lagi,surprise
12,anjr ngeri bgt,fear
13,"kalo lu gitugitu aja masih kurang syukur, gimana gua nad?! wkwk",joy
14,"Semoga jangan deh. Aku juga semingguan ini mimpi aneh aneh random bgt jadi takut kalo beneran kenyataan:"")",fear
15,Hahaha. Memang pun. Baru guna sem ni mmg sakit la.. Terkejut,joy
16,Cukup untuk Kita: Selalu ada alasan mengapaSemesta menghadirkan tanda tanya Dalam relung hati setiap manusia Pada saat menyentuh beberapa peringatan dan duka Akan selalu hadir Beberapa isyarat bias yang seolah hampa makna Dalam setiap Berita Unsri,anger
17,"Makane ku juga heran, napa gk skip aja seh yg ini, sumpeh malesin banget",surprise
18,"JANCOK, SUMPAH GUA MURKA LIAT INI. PEN GUA TEBAS JUGA LU PAK, TAEEEKKK DADI MENUNGSO KOK GRAGAS MEN YO COK, KEPIYE MAKSUDMU COK!!! TRADISI SIH TRADISI, TAPI CARAMU MATENI KUCING IKU YO RAUMUM SETAN! MATIMU YO RABAKALAN ADOH KOYOK KUCING KUI JANCOK!",anger
19,Pyo saja liatnya kesal,anger
20,kalo ada yg tersinggung dari twit 10 tahun yg lalu yg keluar dari jempol bocah 14 tahun ya bego sih wgwgwg,joy
21,"Siapppp, jangan risih kalau di balain ya",disgust
22,Jijik sekali aku liat gesture ku sendiri bawain wannabe,disgust
23,"Semangat! Fighting! Kamu harus yakin ada banyak orang yg punya hidup kayak kamu, dan akan ada yg ngerti kamu. Daripada mikir untuk benci hidup, lebih baik kamu nikmati aja. Coba ketawain hal2 yg bikin kamu muak, abis itu kamu teriak/nangis.",joy
24,dah muak,disgust
25,Anjaaay ngeri nyaks,fear
26,yela da kaye sekarang nak berlagak lak ciss benci !,anger
27,Ini paling hal benci dari sd sampe smp anj wkwkwlwkw,anger
28,eh ngeri bernada ancaman,fear
29,"Mhn kesediaan Bapak/Ibu Pelanggan menunggu, dengan senang hati kami segera merespon Mention kembali. Tks ^Dodi",joy
30,Ko gua kaya wartawan ya nanya dia mulu hahaha lah dia nya mana nanya gua kan aneh ih jijik sama diri sendiri,disgust
31,"""maksudnya diluar tuh kadang mereka ganggu diluar pintu kan suka ngetok tapi orangnya teh ga ada, kalo dalem bisa jadi dibawah kolong. maneh negatif pisan"" ia tertawa puas",joy
32,coba nahan diri utk ga update informasi tp ga tahan &amp; hasilnya malah makin memuakkan. sedih liat betapa absurdnya kebijakan pemerintah &amp; betapa berkuasanya lord LBP serta lemahnya kepemimpinan pak jokes.,sadness
33,"Habis itu aku bilang gitu malah tanya tanya komitmen kek yg ada di foto ke 2. Kan katanya mau bilang langsung,ya emg dia besoknya jelasin langsung ke aku tp dg alasan yg kurang jelas. Ya kecewa si cuma mau gimana lagi berarti emg dia bukan buat aku",sadness
34,I prefer this kind of privacy wkwkwk. Yg sepi2 gini enak. Mau ngomong apa juga enak gaperlu malu gaperlu ada yg tersinggung,joy
35,"Kita ini banyak yang pelupa, bahwa hal sensitif seperti ini, bisa merenggut nyawa, nyawa kita, nyawa orang yang kita cintai, bahkan nyawa orang yang kita benci. Lalu apa ujungnya? Darah dibalas darah?",anger
36,Bukti n fakta klo pejabat2 INA ndk disegani olh mrk... miris malu tngkt international,sadness
37,"Masih heran kenapa ada si manusia"" bentukan kaya gt , siapkan mood terbaikmu hri ini, se gak nya klo km bete tu mood mu gak langsung hbs,",surprise
38,Udh terkejut,surprise
39,"Mushola dirusak, sebagai seorang muslim saya marah, kecewa dan mengutuk para pelakunya, mungkin perasaan inilah yg saudara2 kita rasakan saat Gereja mereka dirusak, kebaktian dbubarkan atau Ijin medirikan tempat ibasah ditolak. Ini pelajaran berharga buat kita ya Njul ..",anger
40,"Ngeri bgttt, akunmu nyambung ke email gak? Kalo iya biasanya keliatan yang mau masuk ke akunmuu",fear
41,"Suka nya banyak ketemu orang, bisa minggir dulu di tempat makan atau nongkrong di stasiun Duka nya tua di keretaaaaaaa, apalagi pas pada pulang kerja kaki gabisa napak di lantai kereta. Kalo lagi dapet atau capek abis kuliah ke senggol dikit rasa nya mo marah",sadness
42,"Syukur Alhamdulillah... bukan nilai materi yg aq vahagia, tp dipercaya dan direspon + GA ini lah makna hakiki indahnya Silaturahmi .... sehat selalu, murah rejeki, delamat dunia akherat untuk saudaraku salute dan respek",joy
43,"Kesian, penat merangkak tu",disgust
44,Bapak lajuu hahaha. Functionnn klau susah. Secret boss dia hritu senang gila hahaha,joy
45,"wow aku mimpi aku ikut perang ngelawan jepang buat kemerdekaan, bangga sekali",joy
46,Udah kebiasaan ABS Asal Bapak Senang. Jadi ya seneng kl dengar info,joy
47,Terkejut nina tgk yg reply tu jugak. Backup teruks,surprise
48,"apa kamu tida malu ngehujat pake nama fandom laen? uda la kalo gabut mah gabut aja gosah ngajak tubir orang, eh lupa deng kan situ sampah ya sampah kan tugasnya bikin risih orang ups bcnd syg",disgust
49,Anjir panas dingin yang debut siapaaa yang gugup siapaaa,fear
50,"Iyaa puas makan sabbat burger, nyokap aja suka banget. Kalau malem antrinya mantep",joy
51,take note pls. jgn bg rakyat murka ye.,anger
52,Sangat benci,anger
53,"Saya gak kebayang dia sekarang pasti gak tentram, karena komandan diperlakukan seperti yg dulunya jadi prajuritnya pasti tersinggung dan sakit sahit",anger
54,"Kayanya gini ke Hokuto doang sih Kalau Achilles, aku senang liat dia dibully batur /heh terusterusachillesberdarahdarahyangwaktuitujugaakusuka Kalau yang lain kayanya fangirling biasa",joy
55,"muka nya murka,badmood melihat orang orang yang masuk neraka",anger
56,Pengin jadi sabun biar korona pada takut,fear
57,"Tweeter produk kafir, tweeter-an di pakai umat nabi, boleh... Tahlil, yasin, di amalkan umat nabi menjadi tahlilan, yasinan... Terhadap hal yg nabi jijik sj beliau berhati dlm menghukumi, apa lagi hal yg nyata hikmah kebaikannya...",anger
58,SAD ENDING GANTUNG ENDING GUA MUAK YA,disgust
59,Gapapa mas saya bangga sama temen temen saya.,joy
60,"Semakin banyak merasa berjasa, semakin sering kamu merasa kecewa. Hanya keikhlasanlah yang dapat mencegahmu dari rasa kecewa.",sadness
61,JANGAN TANYA SAYA! SAYA HERAN! KAGET SAYA!,surprise
62,"Jangan cala colo aja napa koh, kecewa gua. Akwoakwoakwoakwoakwok",sadness
63,"Semoga dapat pembalasan yang setimpal,dan allah murka dengan manusia2 seperti itu",anger
64,"Lokasi di tunjuk ama cebong...atas arahan cebong pula ga heran kalo banjir, kan emg harus ada kolam buat berkubang",surprise
65,Morn Semoga tiap hari kita bahagia. Stay strong ya kita,joy
66,"Knapasihhh, akupun kecewa ma diriku sendiri",sadness
67,Amiiiiiin *team sengsara berakhir bahagia,sadness
68,Ternyata lebih sengsara kangen sama temen,sadness
69,Heran aku kenapa dari kemaren dimintain duwit terus,surprise
70,Pagi nanti nak buat kuis la. Teka haiwan je. Alaa senang je tu,joy
71,"Anjir benci vbanget sm cowo yg ngroko smbl berak Di tmpt kerja, kamar mandi cuma 1 udh gitu gada ventilasi, temen gua tiap ke kamar mandi berak pasti ngrokok, pas keluar gila itu kamar mandi udh kaya habis kebakaran, asepnya lebat bgt, heran ko ga mati ya 15 menit disitu",anger
72,Sedang kesal,anger
73,Karna udh muak bukan muak karna dia bngunin solat subuh muak sama orngnya hhe,disgust
74,PKP random sketch day berapa entah. Gugup gak aku sketch ni.,fear
75,KO OVARIUM ANJINC [ mrasa kesal ],anger
76,manusia modelan begini tuh masalahnya apa si caper mlu heran,surprise
77,Minum kopinya kang biar gak gugup,joy
78,bnyk gasukanya heran,surprise
79,orang stress gini nih subuh subuh ada aja kelakuannya. heran.,surprise
80,Sudah bosan dan muak ya? Wkwkwkkw,disgust
81,"benci ih aneh bgt BGTBGTBGT ANEH HUH, nikmat tuhan mana yg kamu dustakan? bener2 deh",anger
82,Diiyain lagi murka banget.,anger
83,Bae-bae ye jangan keseringan jadi ngeri,fear
84,Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik,disgust
85,Bersama sama hilangkan hati duka lara,sadness
86,"Udah kaya begal maen todong, ngeri!!",joy
87,wkwkwk gapapaaa aku bacanya lucu jadinya cuma ngebenerin aja kokk jangan tersinggung yaaa,joy
88,Kan bila fikir pun dah penat . Apa tah lagi nak lalui lagi,disgust
89,"sakit banget saat cowok yg bikin lo bahagia kemaren, ternyata yg bikin lo nangis hari ini",sadness
90,"Dia nyindir jg diacara lain wkwkw intinya sih gue yakin dia kecewa bgt (YAIYALAH) soalnya mbaknya tuh emg fans kyuhyun dr lamaaa bgt dr zaman dia ceking kerontang wkwk eh ditinggal wamil oleng dong:""",anger
91,"emang udah benci jokowi dari sana nya, ya susah ngomong sama kadrun",anger
92,"Dendi d pateni Yo,jijik bgt e kae ki",disgust
93,HIH KESAL,anger
94,"senang hari ini, menjadi halu kemudian",joy
95,"Aku tersinggung mbak, pengen muleh ae rasane",anger
96,"Gue nyariin dari kmrn,kecewa",sadness
97,"Ada ye, orang diliatin malah dikira naksir. Gue diliatin gitu malah risih masa",disgust
98,"cth paling senang lecturer la, mcm mana sei dia nak tau apa yg jadi dkt student2 dia.... apa yg student dia buat cth dengan siapa student dia dating, apa yg student dia buat bila bukan waktu kelas... and senang2 je dorg kata seungri tau apa yg berlaku ?? wtf",joy
99,Terlalu seksi bu..... Takut ada yg kepanasan........,fear
100,"W dlu waktu awal kenal sosmed malah bela2in fpi,sejenis kadrun2nan, radikal bebas.. sekarang w benci banget sama fpi, kadrun2nan dan sejenis mereka. Berani ngatain itu gk relevant krn pengalaman w sendiri juga gitu, otak w dlu belum jadi.",anger
101,takut dihujat w,fear
102,"cik atuh lah ulah balalaga kitu nu jd re-seller teh, sawajarna. urg bangga make brand local, tp mun kitu2 teuing mah hoream makena ge.",joy
103,Mbaknya terpesona karo kecantikanmu mbak enjiii,surprise
104,ngebales tweet dan bikin tweet kaya gitu malah nunjukkin kalo lu cemas dan takut hehe,fear
105,selalu dijudge org lain even until now so I know gimana rasanya dijudge org2 in conclusion lemme make it short gw tidak mao menghabiskan waktu fangirling gw untuk membenci sesuatu yg bahkan mungkin bias2 gw ga benci...gw jelas tyda muda lagi udah mo menuju 40 thn -c-,sadness
106,Jijik eeeuyyhh,disgust
107,Terus pas ada yang rasis tersinggung. Padahal mereka nya juga sok menjauh gitu kadang. Heran,surprise
108,Murka sa bandungeun dibawa jigana coks. Saminggu Gandul datang eta sunter langsung banjir..Hhaha,anger
109,"Akui terpesona dengan sikap BCL, Ariel NOAH tak segan minta bayaran berupa perasaan saat ia ngamen di rumah istri mendiang Ashraf Sinclair.",surprise
110,"ngeri banget itu disampingnya sungai, suka was was kalau main ke sungai tiba tiba longsor mampus dah",fear
111,"Nga ah, tkut kecewa aku wkwkwk",fear
112,"Tapi tidak dengan yg bermoral,dan membawa nama agama,dan jarang terjadi,tidak yg suka klaim surga,dan horam haram tapi melakukannya juga,untuk menutupi bejadnya kelakuannya dengan mengatas namakan agama nya,bikin muak,.",disgust
113,"aku hari ini: orang: kok muka lu kaya m****t aku: hahaha *cuek* aku besok: orang: kok muka lu kaya m****t aku: *diem, tersinggung* ya begitulah kurang lebih contohnya.",anger
114,(BELVYAAAA!!!!! KENAPA LO SARANKAN BELIAU HAHHH?!?!!?!!!!!!!!! GW MURKA),anger
115,Foya foya dulu kalo udah puas baru nikah,joy
116,HHhhaha aku pun terkejut,joy
117,Kamu SOpan Aku Senang,joy
