text,emotion
Hari ini sangat menyenangkan sekali! Saya sangat bahagia,senang
Saya merasa sangat sedih dan kecewa dengan hasil ini,sedih
Ini membuat saya sangat marah! Tidak bisa diterima,marah
Saya takut akan hal yang terjadi nanti,takut
Menjijikkan sekali perilaku seperti itu,jijik
Wow! Saya tidak menyangka hal ini bisa terjadi,terkejut
Biasa saja tidak ada yang spesial hari ini,netral
Wah luar biasa! Ini benar-benar membahagiakan,senang
Hatiku hancur mendengar berita itu,sedih
Kenapa harus begini? Aku benar-benar kesal,marah
Aku cemas dan khawatir sekali,takut
Geli dan jijik lihat yang begitu,jijik
Astaga! Sungguh mengejutkan,terkejut
Ya sudah biasa aja,netral
Terima kasih banyak! Kamu membuatku senang,senang
Rasanya hampa dan kosong,sedih
Jangan ganggu aku! Aku sedang tidak mood,marah
Ngeri banget kalau dipikir-pikir,takut
Jorok banget ya ampun bikin ilfeel,jijik
Lho kok bisa? Tidak terduga sama sekali,terkejut
Oke deh tidak masalah,netral
Alhamdulillah semua berjalan lancar,senang
Menyedihkan sekali kejadian ini,sedih
Dasar tidak becus! Bikin kesal saja,marah
Deg-degan banget nunggu hasilnya,takut
Ih najis banget deh enggak suka,jijik
Ya ampun kaget! Mendadak banget,terkejut
Ya gitu deh apa adanya,netral
Seneng banget akhirnya berhasil juga,senang
Kecewa berat sama kamu,sedih
Kesal banget gak bisa dipercaya,marah
Serem ah mikirin itu,takut
Jorok ih menjijikkan banget,jijik
Wah gila! Beneran kejadian,terkejut
Biasa kok gapapa,netral
Bahagia banget rasanya hari ini,senang
Sedih dengernya kasihan banget,sedih
Jangan macam-macam ya hati-hati aku marah,marah
Takut banget kalau gagal nanti,takut
Enek banget deh lihatnya,jijik
Astagfirullah kaget banget tiba-tiba,terkejut
Ya biasa lah namanya juga hidup,netral
Sukacita meluap-luap di hatiku,senang
Air mataku menetes mendengar cerita itu,sedih
Brengsek! Aku tidak terima perlakuan ini,marah
Gemetar takut membayangkannya,takut
Bau dan menjijikkan sekali,jijik
Oh my god! Tidak percaya ini nyata,terkejut
Netral saja tidak ada perasaan khusus,netral
Tersenyum lebar penuh kegembiraan,senang
Hancur lebur perasaanku,sedih
Murka! Tidak bisa dimaafkan,marah
Ngeri dan seram bayangan buruknya,takut
Mual lihat pemandangan seperti itu,jijik
Heboh banget kabar mengejutkan ini,terkejut
Standar tidak istimewa,netral
Gembira bukan main ya,senang
Terpukul keras hatiku,sedih
Dongkol banget rasanya,marah
Waswas dan takut terus menerus,takut
Menjijikkan tidak bisa ditolerir,jijik
Kagum sekaligus terkejut,terkejut
Datar-datar saja responku,netral
